body,documents,type,id,gold_exact_answer,gold_ideal_answer,retrieved_pmids,retrieved_docids,pred_exact_answer,pred_ideal_answer,raw_llm,sources,answer_em,answer_f1,contexts
Which protein is the main inhibitor of protein phosphatase 1 (PP1)?,"['19481088', '18192322', '17388107', '16772299', '10811908', '9033809', '8611507', '2540000', '21447388', '16774736', '15345721']",factoid,550618f58e1671127b000007,"[['protein phosphatase inhibitor 1', 'inhibitor 1', 'PPI-1', 'I1']]","['Protein Phosphatase-1 is restrained by its endogenous inhibitor, protein phosphatase inhibitor-1 (PPI-1). Inhibition of the protein phosphatase 1, by inhibitor-1, significantly increases cardiac contractility and calcium handling. Inhibitor-1 becomes a potent inhibitor of protein phosphatase 1 when phosphorylated by cAMP-dependent protein kinase.', 'Inhibitor 1 (I-1) is a protein inhibitor of protein phosphatase 1 (PP1), a major eukaryotic Ser/Thr phosphatase. Nonphosphorylated I-1 is inactive, whereas phosphorylated I-1 is a potent PP1 inhibitor.   ', 'Inhibitor 1 (I-1) is a protein inhibitor of protein phosphatase 1 (PP1), a major eukaryotic Ser/Thr phosphatase. Nonphosphorylated I-1 is inactive, whereas phosphorylated I-1 is a potent PP1 inhibitor.   ', 'Inhibitor 1 (I-1) is a protein inhibitor of protein phosphatase 1 (PP1), a major eukaryotic Ser/Thr phosphatase. Nonphosphorylated I-1 is inactive, whereas phosphorylated I-1 is a potent PP1 inhibitor.   ', 'Inhibitor 1 (I-1) is a protein inhibitor of protein phosphatase 1 (PP1), a major eukaryotic Ser/Thr phosphatase. Nonphosphorylated I-1 is inactive, whereas phosphorylated I-1 is a potent PP1 inhibitor.   ', 'Inhibitor 1 (I-1) is a protein inhibitor of protein phosphatase 1 (PP1), a major eukaryotic Ser/Thr phosphatase. Nonphosphorylated I-1 is inactive, whereas phosphorylated I-1 is a potent PP1 inhibitor.   ']","['24401270', '15228586', '15143168', '17640894', '10439043']","['24401270#0', '15228586#1', '15143168#2', '17640894#3', '10439043#4']",[],Phosphorylation-mediated inactivation of coactivator-associated arginine methyltransferase 1.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""Phosphorylation-mediated inactivation of coactivator-associated arginine methyltransferase 1.""
}
```","[{'doc_id': '24401270#0', 'pmid': '24401270', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15228586#1', 'pmid': '15228586', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15143168#2', 'pmid': '15143168', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17640894#3', 'pmid': '17640894', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '10439043#4', 'pmid': '10439043', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Phenothiazines induce PP2A-mediated apoptosis in T cell acute lymphoblastic leukemia.', 'Title: Regulation of RANTES/CCL5 expression in human astrocytes by interleukin-1 and interferon-beta.', 'findings suggest that CK2 phosphorylation of Bdf1 may regulate RNA polymerase II transcription and/or chromatin structure.', 'Title: Phosphorylation-mediated inactivation of coactivator-associated arginine methyltransferase 1.', 'Title: Inhibition of mammalian cell proliferation by genetically selected peptide aptamers that functionally antagonize E2F activity.']"
The small molecule SEA0400 is an inhibitor of which ion antiporter/exchanger?,"['23441899', '22119380', '22075452', '21903118', '21672583', '20447431', '19593760', '19423954', '18855935', '17727839', '17310075', '16960421', '16497099', '15878358', '16495765', '16842776', '15703202', '15678087', '15556149', '15231867', '11877314', '11408549']",factoid,5506c3e38e1671127b00000a,"[['Na(+)/Ca(2+) exchanger', 'NCX']]","['SEA0400 is a selective inhibitor of the Na(+)/Ca(2+) exchanger having equal potencies to suppress both the forward and reverse mode operation of the Na(+)/Ca(2+) exchanger. SEA0400 (2-[4-[(2,5-difluorophenyl)methoxy] phenoxy]-5-ethoxyaniline), is a selective NCX inhibitor in vivo.', 'The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.  ', 'The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.  ', 'The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.  ', 'The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.  ', 'The effects of SEA0400, a selective inhibitor of the Na(+)/Ca(2+) exchanger (NCX), on Na(+)-dependent Ca(2+) uptake and catecholamine (CA) release were examined in bovine adrenal chromaffin cells that were loaded with Na(+) by treatment with ouabain and veratridine. SEA0400 inhibited Na(+)-dependent (45)Ca(2+) uptake and CA release, with the IC(50) values of 40 and 100 nM, respectively.  ']","['22136276', '19256341', '10439043', '23589332', '24261963']","['22136276#0', '19256341#1', '10439043#2', '23589332#3', '24261963#4']",[],,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": """"
}
```","[{'doc_id': '22136276#0', 'pmid': '22136276', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19256341#1', 'pmid': '19256341', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '10439043#2', 'pmid': '10439043', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23589332#3', 'pmid': '23589332', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '24261963#4', 'pmid': '24261963', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['was generally well tolerated in patients with SEGA associated with TSC; most drug-related adverse reactions were mild to moderate in severity.', 'yield was calculated to be 0.405, indicating the Jerusalem artichoke could be an alternative feedstock for grain-based fuel ethanol production.', 'Title: Inhibition of mammalian cell proliferation by genetically selected peptide aptamers that functionally antagonize E2F activity.', 'control of BRD4. We suggest a model where BRD4 coordinates both positive and negative regulation of ISG elongation.', 'summarized the major molecules of PI3K signaling pathway, and discussed the preclinical models and clinical trials of potent small-molecule PI3K inhibitors.']"
"Which protein phosphatase has been found to interact with the heat shock protein, HSP20?","['24244723', '21493896']",factoid,5506ce078e1671127b00000b,"[['Protein phosphatase 1', 'PP1']]","['Protein phosphatase-1 activity is regulated by two binding partners, inhibitor-1 and the small heat shock protein 20, Hsp20. Cell fractionation, coimmunoprecipitation, and coimmunolocalization studies, revealed an association between Hsp20 and PP1. Small heat shock protein 20 interacts with protein phosphatase-1 and enhances sarcoplasmic reticulum calcium cycling.', 'Moreover, protein phosphatase-1 activity is regulated by two binding partners, inhibitor-1 and the small heat shock protein 20, Hsp20. Small heat shock protein 20 interacts with protein phosphatase-1 and enhances sarcoplasmic reticulum calcium cycling.']","['656568', '20534440', '23651738', '23707720', '12673949']","['656568#0', '20534440#1', '23651738#2', '23707720#3', '12673949#4']",[],The document does not provide information about which protein phosphatase interacts with HSP20.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""The document does not provide information about which protein phosphatase interacts with HSP20.""
}
```","[{'doc_id': '656568#0', 'pmid': '656568', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20534440#1', 'pmid': '20534440', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23651738#2', 'pmid': '23651738', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23707720#3', 'pmid': '23707720', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12673949#4', 'pmid': '12673949', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Phylogenetic affinities between eukaryotic cells and a thermophilic mycoplasma.', 'Title: Interactions between DSIF (DRB sensitivity inducing factor), NELF (negative elongation factor), and the Drosophila RNA polymerase II transcription elongation complex.', 'Title: Resveratrol inhibits LXRα-dependent hepatic lipogenesis through novel antioxidant Sestrin2 gene induction.', 'Title: Identification of ubiquitin-modified lysine residues and novel phosphorylation sites on eukaryotic initiation factor 2B epsilon.', 'contractions of vascular smooth muscles and is involved in malignant cell transformation and tumor invasion and metastasis.']"
Where in a protein can a signal sequence be found?,"['21834515', '21572038', '19453274', '18931123', '12551941', '11575719', '11231276', '9624150', '9551364', '9013954', '8955395', '8077949', '8307567']",factoid,550718e9fd1abe1741000001,[['N-terminally']],['Proteins have signal sequences typically resent at the most N-terminal end.'],"['18514361', '23412389', '18651559', '17651940', '23681577']","['18514361#0', '23412389#1', '18651559#2', '17651940#3', '23681577#4']",[],Rasosomes originate from the Golgi to dispense Ras signals.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""Rasosomes originate from the Golgi to dispense Ras signals.""
}
```","[{'doc_id': '18514361#0', 'pmid': '18514361', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23412389#1', 'pmid': '23412389', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18651559#2', 'pmid': '18651559', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '17651940#3', 'pmid': '17651940', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23681577#4', 'pmid': '23681577', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Tuning in to the signals: noncoding sequence conservation in vertebrate genomes.', 'Title: Rasosomes originate from the Golgi to dispense Ras signals.', 'Title: Signaling pathways in medulloblastoma.', 'Title: Cellular signaling in normal and cancerous stem cells.', 'Title: Comparative gel-based phosphoproteomics in response to signaling molecules.']"
Which is the RNA sequence of the canonical polyadenylation signal?,"['19169861', '19041263', '19032167', '24177577', '24152550', '22535384', '22306880', '22056681', '21943048', '19597839', '19509282', '18658125']",factoid,550739cf3b8a5dc045000002,[['AAUAAA']],"[""A polyadenylation signal (AAUAAA) nearby the 3' end of pre-mRNA is required for poly(A) synthesis.""]","['7945327', '15163844', '18514361', '18651559', '8702928']","['7945327#0', '15163844#1', '18514361#2', '18651559#3', '8702928#4']",[],RNA polymerase signals UvrAB landing sites,"```json
{
""exact_answer"": """",
""ideal_answer"": ""RNA polymerase signals UvrAB landing sites""
}
```","[{'doc_id': '7945327#0', 'pmid': '7945327', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15163844#1', 'pmid': '15163844', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18514361#2', 'pmid': '18514361', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '18651559#3', 'pmid': '18651559', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '8702928#4', 'pmid': '8702928', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Identification of the nucleolar targeting signal of human angiogenin.', 'Title: Overcoming endocrine therapy resistance by signal transduction inhibition.', 'Title: Tuning in to the signals: noncoding sequence conservation in vertebrate genomes.', 'Title: Signaling pathways in medulloblastoma.', 'Title: RNA polymerase signals UvrAB landing sites.']"
What disease is small bowel lymphoma commonly associated with,"['21532863', '18212211', '12002682', '10912475']",factoid,5509bd6a1180f13250000002,"[['Celiac disease', 'gluten-associated enteropathy', 'CELIAC SPRU', 'Non tropical spru', 'Gluten Sensitive Enteropath']]",['Celiac disease'],"['21601587', '21294676', '14501624', '23153241', '20846907']","['21601587#0', '21294676#1', '14501624#2', '23153241#3', '20846907#4']",[],,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": """"
}
```","[{'doc_id': '21601587#0', 'pmid': '21601587', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21294676#1', 'pmid': '21294676', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '14501624#2', 'pmid': '14501624', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23153241#3', 'pmid': '23153241', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20846907#4', 'pmid': '20846907', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Association between environmental exposure to pesticides and neurodegenerative diseases.', 'Title: Helicobacter pylori-induced tyrosine phosphorylation of IKKβ contributes to NF-κB activation.', 'Title: Irritable bowel syndrome or endometriosis, or both?', 'Title: Methylation of tumor suppressor microRNAs: lessons from lymphoid malignancies.', 'Title: Are synucleinopathies prion-like disorders?']"
What is hyperosmia,"['24302690', '23520356', '21250223']",factoid,5509c52f1180f13250000004,[['increased olfactory acuity']],"['increased olfactory acuity', 'Hyperosmia is increased olfactory acuity  ', 'Hyperosmia is increased olfactory acuity  ', 'Hyperosmia is increased olfactory acuity  ', 'Hyperosmia is increased olfactory acuity  ', 'Hyperosmia is increased olfactory acuity  ']","['20373339', '19419704', '7952245', '20602616', '14963686']","['20373339#0', '19419704#1', '7952245#2', '20602616#3', '14963686#4']",[],,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": """"
}
```","[{'doc_id': '20373339#0', 'pmid': '20373339', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19419704#1', 'pmid': '19419704', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '7952245#2', 'pmid': '7952245', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '20602616#3', 'pmid': '20602616', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '14963686#4', 'pmid': '14963686', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Chronic cerebrospinal venous insufficiency and multiple sclerosis.', 'Title: Dyskeratosis congenita, stem cells and telomeres.', 'Title: Neuroleptic malignant syndrome.', 'Title: Pharmacogenetics of drug hypersensitivity.', 'Title: Muenke syndrome.']"
What is the method FASP used for?,"['24309553', '24289162', '24288579', '24051509', '24022122', '23784971', '23603217', '23436586', '23214492', '23126408', '22324799', '22092713', '22949036']",factoid,5509f433c2af5d5b70000008,[['proteomic sample preparation']],"['Filter Aided Sample Preparation (FASP), a type of proteomic reactor, in which samples dissolved in sodium dodecyl sulfate (SDS) are digested in an ultrafiltration unit.']","['21909922', '23557020', '19470175', '22955980', '3369448']","['21909922#0', '23557020#1', '19470175#2', '22955980#3', '3369448#4']",[],This method is ideally suited to whole genome annotation of alpha-helical transmembrane proteins.,"```json
{
""exact_answer"": """",
""ideal_answer"": ""This method is ideally suited to whole genome annotation of alpha-helical transmembrane proteins.""
}
```","[{'doc_id': '21909922#0', 'pmid': '21909922', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23557020#1', 'pmid': '23557020', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '19470175#2', 'pmid': '19470175', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22955980#3', 'pmid': '22955980', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '3369448#4', 'pmid': '3369448', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Proteomics method for identification of pseudopodium phosphotyrosine proteins.', 'Title: Assay development for histone methyltransferases.', 'and globular proteins, make this method ideally suited to whole genome annotation of alpha-helical transmembrane proteins.', 'Title: Widespread plasticity in CTCF occupancy linked to DNA methylation.', 'Title: Segregation analysis with uncertain ascertainment: application to Fanconi anemia.']"
Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?,"['22435548', '20028970', '17001349', '16778892', '10837071']",factoid,550af222c2af5d5b7000000b,"[['SCF(β-TrCP)', 'SCF beta-transducin repeat-containing protein (beta-TrCP)', 'beta-Trcp']]","['IκB degradation involves ubiquitination mediated by a specific E3 ubiquitin ligase SCF(β-TrCP). SCF(β-TrCP) -mediated IκB ubiquitination and degradation is a very efficient process, often resulting in complete degradation of the key inhibitor IκBα within a few minutes of cell stimulation.', 'IkappaB degradation is dependent upon its phosphorylation by the IkappaB kinase (IKK) complex and subsequent ubiquitination facilitated by beta-Trcp E3 ubiquitin ligase.Sequence comparison analysis showed sequence motif identity between CLU and beta-transducin repeat-containing protein (beta-TrCP), a main E3 ubiquitin ligase involved in IkappaB-alpha degradation.', 'IkappaB degradation is dependent upon its phosphorylation by the IkappaB kinase (IKK) complex and subsequent ubiquitination facilitated by beta-Trcp E3 ubiquitin ligase.Sequence comparison analysis showed sequence motif identity between CLU and beta-transducin repeat-containing protein (beta-TrCP), a main E3 ubiquitin ligase involved in IkappaB-alpha degradation.', 'IkappaB degradation is dependent upon its phosphorylation by the IkappaB kinase (IKK) complex and subsequent ubiquitination facilitated by beta-Trcp E3 ubiquitin ligase. SCF(β-TrCP) -mediated IκB ubiquitination and degradation is a very efficient process, often resulting in complete degradation of the key inhibitor IκBα within a few minutes of cell stimulation.']","['17420471', '23707720', '21294676', '23951168', '14688465']","['17420471#0', '23707720#1', '21294676#2', '23951168#3', '14688465#4']",[],A mechanism for transcriptional repression dependent on the BRCA1 E3 ubiquitin ligase.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""A mechanism for transcriptional repression dependent on the BRCA1 E3 ubiquitin ligase.""
}
```","[{'doc_id': '17420471#0', 'pmid': '17420471', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23707720#1', 'pmid': '23707720', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21294676#2', 'pmid': '21294676', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23951168#3', 'pmid': '23951168', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '14688465#4', 'pmid': '14688465', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: A mechanism for transcriptional repression dependent on the BRCA1 E3 ubiquitin ligase.', 'Title: Identification of ubiquitin-modified lysine residues and novel phosphorylation sites on eukaryotic initiation factor 2B epsilon.', 'Title: Helicobacter pylori-induced tyrosine phosphorylation of IKKβ contributes to NF-κB activation.', 'identification of a role of HDACs in the early steps of medulloblastoma formation suggests there may be a therapeutic potential for HDAC inhibitors in this disease.', 'Title: Targeting E3 ubiquitin ligases for cancer therapy.']"
Which disease of the central nervous system is characterized by the presence of Lewy bodies?,"['23979994', '23587141', '23531432', '23281786', '23225525', '24465140', '2085926', '22251432', '24291999', '22355263', '19155272', '1534893', '20174468', '19877240', '10986355', '25514659']",factoid,550c3754a103b78016000007,"[[""Parkinson's disease (PD)""]]","[""Parkinson's disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein."", 'Parkinsons disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The protein α-synuclein is well recognized to contribute to the pathogenesis of Parkinson disease and is the major component of Lewy bodies and Lewy neurites', 'Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ', 'Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ', 'Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ', 'Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ', 'Parkinson s disease (PD) is one of the most common degenerative disorders of the central nervous system that produces motor and non-motor symptoms. The majority of cases are idiopathic and characterized by the presence of Lewy bodies containing fibrillar α-synuclein  ']","['20180637', '23951168', '23175609', '21907282', '12483111']","['20180637#0', '23951168#1', '23175609#2', '21907282#3', '12483111#4']",[],The document does not state which disease is characterized by the presence of Lewy bodies.,"```json
{
  ""exact_answer"": """",
  ""ideal_answer"": ""The document does not state which disease is characterized by the presence of Lewy bodies.""
}
```","[{'doc_id': '20180637#0', 'pmid': '20180637', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23951168#1', 'pmid': '23951168', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23175609#2', 'pmid': '23175609', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '21907282#3', 'pmid': '21907282', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12483111#4', 'pmid': '12483111', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['with skin wounding and central nervous system disorders, including multiple sclerosis. Finally, we present evidence of KLK participation in autoimmune diseases and allergies.', 'identification of a role of HDACs in the early steps of medulloblastoma formation suggests there may be a therapeutic potential for HDAC inhibitors in this disease.', 'Title: Ion-dependent conformational switching by a DNA aptamer that induces remyelination in a mouse model of multiple sclerosis.', 'Title: Neuronal and glia abnormalities in Tsc1-deficient forebrain and partial rescue by rapamycin.', 'Title: Role of neutrophil elastase in bone marrow failure syndromes: molecular genetic revival of the chalone hypothesis.']"
What is the main component of the Lewy bodies?,"['23562579', '23384565', '23382946', '23300799', '23295909', '18991634', '16951579', '15541000', '15530662', '22923347', '16969096', '24597591', '20534649', '20846907', '11412709', '23183883', '22843682', '21937912', '11085897', '10327208', '21683963']",factoid,550c3d45a103b78016000008,[['Alpha-synuclein']],"[""Parkinson's disease (PD) is characterized by the progressive degeneration of substantia nigra pars compacta (SNpc) dopaminergic neurones and the formation of Lewy bodies (LB) in a proportion of the remaining neurones. Alpha-synuclein has been identified as the main component of the Lewy bodies."", 'The main component of Lewy bodies is alpha-synuclein.', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'The main component of Lewy bodies is alpha-synuclein.', ""Parkinson's disease (PD) is characterized by the progressive degeneration of substantia nigra pars compacta (SNpc) dopaminergic neurones and the formation of Lewy bodies (LB) in a proportion of the remaining neurones. Alpha-synuclein has been identified as the main component of the Lewy bodies."", 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ', 'Parkinson s disease (PD) is one of the most common neurodegenerative diseases. Majority of PD are sporadic, for which genetic causes remain largely unknown. Alpha-synuclein, the main component of Lewy bodies, plays a central role in the PD pathogenesis  ']","['12722831', '15530662', '22541691', '12483111', '23951168']","['12722831#0', '15530662#1', '22541691#2', '12483111#3', '23951168#4']",[['tau and alpha-synuclein']],"The study ""Colocalization of tau and alpha-synuclein epitopes in Lewy bodies"" indicates that tau and alpha-synuclein are components of Lewy bodies. While other proteins may be involved, this research specifically highlights these two as key constituents within the structures.","```json
{
""exact_answer"": ""tau and alpha-synuclein"",
""ideal_answer"": ""The study \""Colocalization of tau and alpha-synuclein epitopes in Lewy bodies\"" indicates that tau and alpha-synuclein are components of Lewy bodies. While other proteins may be involved, this research specifically highlights these two as key constituents within the structures.""
}
```","[{'doc_id': '12722831#0', 'pmid': '12722831', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '15530662#1', 'pmid': '15530662', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '22541691#2', 'pmid': '22541691', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '12483111#3', 'pmid': '12483111', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}, {'doc_id': '23951168#4', 'pmid': '23951168', 'text': None, 'offsetInBeginSection': None, 'offsetInEndSection': None}]",0.0,0.0,"['Title: Colocalization of tau and alpha-synuclein epitopes in Lewy bodies.', 'Title: Upregulation of amyloid precursor protein isoforms containing Kunitz protease inhibitor in dementia with Lewy bodies.', 'as components of differentiation therapy of leukemia, perhaps in combination with derivatives of vitamin D.', 'Title: Role of neutrophil elastase in bone marrow failure syndromes: molecular genetic revival of the chalone hypothesis.', 'Title: Sonic hedgehog-induced histone deacetylase activation is required for cerebellar granule precursor hyperplasia in medulloblastoma.']"
